CASE,DE01,DE01_08,DE02,DE04,DE03,DA01_01,DA02_01,DA02_02,DA02_03,DA02_04,DA02_05,DA02_06,DA02_07,DA02_08,DA02_09,DA02_10,DA02_11,DA02_12,DA02_13,DA02_14,DA02_15,DA02_16,DA02_17,DA02_18,DA02_19,DA02_20,DA02,PI01_01,PI01_02,PI01_03,PI01_04,PI01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,CC01_01,CC01_02,CC01_03,CC01_04,CC01_05,CC01_06,CC01_07,CC01_08,CC01_09,CC01_10,CC01_11,CC01_12,CC01_13,CC01_14,CC01_15,OP01,OP02,OP03_01,OP03_02,OP03_03,OP03_04,OP03_05,OP03_06,OP03_06a,OP03_07,OP03,OR01_01
37,Frontend developer,,1-3 years,EU / EEA,More than 1000,"Name, Voice ID",Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,2,Always,Always,I do not contribute in this SDLC stage,I do not contribute in this SDLC stage,I do not contribute in this SDLC stage,Never heard of,Never heard of,Never heard of,Never heard of,Good understanding,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Unsure,Yes,Unsure,Yes,Yes,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,
44,Full-stack developer,,4-7 years,Central Asia,More than 1000,,Checked,Not checked,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,6,Always,Always,Sometimes,Sometimes,Never,Never heard of,Heard of,Never heard of,Never heard of,Heard of,Yes,No,Unsure,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Unsure,Unsure,Yes,Yes,Yes,Checked,Checked,Not checked,Not checked,Checked,Not checked,,Not checked,3,
48,Test / QA,,1-3 years,Central Asia,More than 1000,"Phone number, email address, passport number, bank account data, transaction history",Checked,Checked,Checked,Checked,Checked,Checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,9,Always,Usually,Always,Always,Sometimes,Basic idea,Basic idea,Basic idea,Basic idea,Basic idea,Yes,Unsure,No,Yes,No,Yes,Yes,Unsure,Yes,Yes,No,No,Yes,No,Unsure,Yes,Yes,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,Not checked,1,
49,Backend developer,,4-7 years,Central Asia,More than 1000,"Full name, email address, IP address, location data",Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,2,I do not contribute in this SDLC stage,Rarely,Usually,Sometimes,Always,Good understanding,Never heard of,Never heard of,Never heard of,Basic idea,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Sonarqube static code analysis,Not checked,2,
80,Full-stack developer,,4-7 years,EU / EEA,More than 1000,I donâ€™t know,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Always,Sometimes,Sometimes,Usually,Always,Basic idea,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Unsure,Unsure,Yes,Unsure,No,Yes,No,Yes,Unsure,No,No,Yes,Yes,Unsure,Yes,Yes,Checked,Checked,Checked,Checked,Checked,Not checked,,Not checked,5,
83,Backend developer,,1-3 years,EU / EEA,250-999,geodata,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Sometimes,Sometimes,Sometimes,I do not contribute in this SDLC stage,Sometimes,Never heard of,Never heard of,Never heard of,Heard of,Heard of,Yes,Unsure,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,Not checked,1,
84,Data / ML engineer,,1-3 years,South East Asia,50-249,"user behavior data, personal information of user, purchase history, historical data",Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,9,Always,Always,Always,Always,Always,Never heard of,Never heard of,Never heard of,Basic idea,Heard of,No,Unsure,Unsure,No,Yes,No,Yes,No,Unsure,No,Unsure,Yes,Unsure,Yes,Yes,No,No,Checked,Not checked,Not checked,Checked,Checked,Not checked,,Not checked,3,
89,Test / QA,,1-3 years,Central Asia,10-49,"Name, email, phone number, photo, device ID",Checked,Checked,Checked,Checked,Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,7,Usually,Rarely,Rarely,Always,Always,Never heard of,Heard of,Never heard of,Never heard of,Heard of,No,Yes,Unsure,Yes,Yes,No,Yes,No,Unsure,Yes,No,Unsure,No,Unsure,Unsure,No,No,Not checked,Not checked,Not checked,Checked,Checked,Not checked,,Not checked,2,
95,Backend developer,,4-7 years,East Asia,More than 1000,,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Always,Always,Usually,Usually,Always,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Unsure,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Unsure,Yes,Yes,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,Not checked,1,
96,Data / ML engineer,,1-3 years,Central Asia,More than 1000,"Debit card data, pinfl, name, date of birth, citizenship ",Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Basic idea,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,Not checked,1,
97,Backend developer,,4-7 years,North America,More than 1000,,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Usually,Usually,Sometimes,Sometimes,Sometimes,Never heard of,Never heard of,Never heard of,Basic idea,Heard of,Yes,Unsure,Unsure,Yes,Unsure,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Not checked,Not checked,Checked,Not checked,Checked,Not checked,,Not checked,2,
102,Full-stack developer,,4-7 years,South Asia,More than 1000,"All PII, I worked on the User Authentication and Authorisation Application",Checked,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,9,Always,Usually,Usually,Usually,Always,Good understanding,Basic idea,Heard of,Heard of,Heard of,Yes,Yes,No,Yes,Yes,No,Yes,No,Unsure,No,No,No,Yes,Yes,Yes,Yes,Yes,Checked,Not checked,Not checked,Not checked,Checked,Checked,Software Assesment Survey Procedures,Not checked,3,Clear guidelines enforced by Integration Test Cases and log data monitoring... Code Reviews.. Eg no PII should be decrypted/decoded unless required.. PII including email (the username) should only be logged in one way hashed format etc...
108,Frontend developer,,1-3 years,EU / EEA,2-9,"Location, email and name",Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,4,I do not contribute in this SDLC stage,Sometimes,Sometimes,Sometimes,Sometimes,Good understanding,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Yes,Unsure,Yes,Yes,Unsure,Yes,No,Yes,No,No,Unsure,Unsure,Unsure,Unsure,Yes,No,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Not checked,1,
111,Backend developer,,1-3 years,Eastern Europe,250-999,Unique ID,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Usually,Usually,Rarely,Usually,Usually,Never heard of,Heard of,Never heard of,Never heard of,Never heard of,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Unsure,Yes,Unsure,Yes,No,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,
154,Other,Linux Desktop and Embedded Dev,1-3 years,EU / EEA,More than 1000,"Health information, name",Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Usually,Never,Never,Sometimes,Always,Good understanding,Never heard of,Never heard of,Basic idea,Never heard of,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,Yes,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,Not checked,1,
165,Full-stack developer,,4-7 years,EU / EEA,More than 1000,,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,I do not contribute in this SDLC stage,I do not contribute in this SDLC stage,I do not contribute in this SDLC stage,I do not contribute in this SDLC stage,I do not contribute in this SDLC stage,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,No,No,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,I don't handle :)
170,Backend developer,,1-3 years,EU / EEA,More than 1000,,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Always,Sometimes,Never,Sometimes,Always,Good understanding,Never heard of,Never heard of,Never heard of,Heard of,Yes,No,No,Yes,Yes,No,Yes,No,Unsure,Yes,No,No,Unsure,No,Unsure,No,Yes,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,
171,Test / QA,,1-3 years,Latin America,50-249,"Full name, address, telephone number, email address ",Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,4,Sometimes,Sometimes,Sometimes,Usually,Always,Never heard of,Never heard of,Never heard of,Never heard of,Heard of,Yes,Unsure,Unsure,Yes,Yes,Unsure,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,No,No,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,
172,Backend developer,,1-3 years,Central Asia,2-9,,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Never,Usually,Usually,Never,Never,Never heard of,Never heard of,Never heard of,Heard of,Never heard of,Yes,Yes,Unsure,Yes,Yes,No,No,No,Unsure,Yes,No,Yes,Unsure,Yes,Unsure,Yes,No,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,
174,Other,R&D Software Engineer,4-7 years,EU / EEA,More than 1000,"Video of user face, Vital signs",Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Usually,Sometimes,Never,Sometimes,Never,Good understanding,Never heard of,Never heard of,Never heard of,Never heard of,Yes,No,Unsure,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Unsure,Yes,Unsure,Yes,Yes,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,
186,Test / QA,,1-3 years,EU / EEA,More than 1000,,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,1,Never,Never,Never,Always,Usually,Never heard of,Heard of,Never heard of,Basic idea,Never heard of,Yes,Unsure,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Unsure,Unsure,No,No,Yes,Yes,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,Not checked,1,
187,Mobile developer,,1-3 years,Eastern Europe,250-999,"Name, role, phone number, email",Checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,4,Sometimes,Usually,Sometimes,Never,Always,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Unsure,Yes,No,Unsure,Unsure,Yes,Unsure,No,Yes,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,Checked,1,
